game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report,games_szn,minutes_szn,gk_saves_szn,clearances_szn,tackles_szn,assisted_shots_szn,fouled_szn,shots_szn,crosses_szn,shots_on_target_szn,passes_szn,interceptions_szn,fouls_szn,goals_szn,assists_szn,cards_yellow_szn,game_count_szn,games_l5,minutes_l5,gk_saves_l5,clearances_l5,tackles_l5,assisted_shots_l5,fouled_l5,shots_l5,crosses_l5,shots_on_target_l5,passes_l5,interceptions_l5,fouls_l5,goals_l5,assists_l5,cards_yellow_l5,game_count_l5,passes_l5_minus_szn,opp_passes_against
Y,31,0,90,0,0,2,0,0,1,0,0,34,1,0,0,0,0,Sat,Premier League,Matchweek 32,Away,W 3-0,Arsenal,Brighton,LM,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.2,5.0,0.0,32.0,94.1,5.0,18.0,1.0,4.0,2.0,Match Report,0.0,83.5,0.0,0.0,1.9666666666666666,0.0,0.0,1.3333333333333333,0.0,0.4666666666666667,64.00000000000003,1.2,0.0,0.2,0.16666666666666666,0.1,15.5,0.0,73.4,0.0,0.0,1.4,0.0,0.0,1.8,0.0,1.0,40.6,0.4,0.0,0.4,0.2,0.0,28.0,-23.400000000000027,0.8610541358871941
Y,32,0,90,0,0,3,0,0,2,0,0,61,0,0,0,0,0,Sun,Premier League,Matchweek 33,Home,L 0-2,Arsenal,Aston Villa,"CM,LM",0.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,1.0,0.0,54.0,88.5,7.0,42.0,0.0,0.0,0.0,Match Report,0.0,83.70967741935483,0.0,0.0,1.967741935483871,0.0,0.0,1.3225806451612903,0.0,0.45161290322580644,63.03225806451616,1.1935483870967742,0.0,0.1935483870967742,0.16129032258064516,0.0967741935483871,16.0,0.0,73.4,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.8,36.2,0.4,0.0,0.4,0.0,0.0,29.0,-26.832258064516154,0.8960103634933608
Y,33,0,90,0,0,4,0,0,4,0,2,61,0,0,0,0,1,Sat,Premier League,Matchweek 34,Away,W 2-0,Arsenal,Wolves,"CM,LM",0.0,0.0,0.0,68.0,0.0,0.2,0.2,0.2,10.0,1.0,55.0,90.2,12.0,48.0,5.0,3.0,1.0,Match Report,0.0,83.90625,0.0,0.0,2.0,0.0,0.0,1.34375,0.0,0.4375,62.96875000000003,1.15625,0.0,0.1875,0.15625,0.09375,16.5,0.0,76.8,0.0,0.0,2.0,0.0,0.0,1.2,0.0,0.2,38.4,0.4,0.0,0.2,0.0,0.0,30.0,-24.56875000000003,1.0417469888808353
Y,34,0,90,0,0,5,0,0,3,0,1,38,2,0,0,1,0,Tue,Premier League,Matchweek 29,Home,W 5-0,Arsenal,Chelsea,LM,0.0,0.0,0.0,53.0,0.0,0.2,0.2,0.1,5.0,2.0,33.0,86.8,2.0,23.0,5.0,3.0,1.0,Match Report,0.0,84.0909090909091,0.0,0.0,2.0606060606060606,0.0,0.0,1.4242424242424243,0.0,0.48484848484848486,62.909090909090935,1.121212121212121,0.0,0.18181818181818182,0.15151515151515152,0.12121212121212122,17.0,0.0,76.8,0.0,0.0,2.6,0.0,0.0,1.4,0.0,0.4,41.2,0.4,0.0,0.0,0.0,0.2,31.0,-21.709090909090932,0.8475343007983385
Y,35,0,90,0,0,5,0,0,1,0,0,42,2,0,0,1,0,Sun,Premier League,Matchweek 35,Away,W 3-2,Arsenal,Tottenham,"LM,CM",0.0,0.0,0.0,54.0,1.0,0.0,0.0,0.4,2.0,1.0,32.0,76.2,2.0,22.0,0.0,1.0,0.0,Match Report,0.0,84.26470588235294,0.0,0.0,2.1470588235294117,0.0,0.0,1.4705882352941178,0.0,0.5,62.17647058823532,1.1470588235294117,0.0,0.17647058823529413,0.17647058823529413,0.11764705882352941,17.5,0.0,76.8,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.6,42.0,0.8,0.0,0.0,0.2,0.2,32.0,-20.17647058823532,0.7767993461129188
Y,36,0,90,0,0,1,0,0,3,0,1,52,2,0,1,1,0,Sat,Premier League,Matchweek 36,Home,W 3-0,Arsenal,Bournemouth,LM,0.0,0.0,0.0,61.0,1.0,0.3,0.3,0.2,4.0,1.0,45.0,86.5,6.0,40.0,5.0,3.0,2.0,Match Report,0.0,84.42857142857143,0.0,0.0,2.2285714285714286,0.0,0.0,1.457142857142857,0.0,0.4857142857142857,61.60000000000002,1.1714285714285715,0.0,0.17142857142857143,0.2,0.11428571428571428,18.0,0.0,90.0,0.0,0.0,3.8,0.0,0.0,2.2,0.0,0.6,47.2,1.0,0.0,0.0,0.4,0.2,33.0,-14.40000000000002,1.0297693403040162
Y,37,0,90,0,0,2,0,0,2,0,1,32,0,0,0,0,0,Sun,Premier League,Matchweek 37,Away,W 1-0,Arsenal,Manchester Utd,"LM,CM",0.0,0.0,0.0,42.0,2.0,0.1,0.1,0.0,1.0,0.0,29.0,90.6,5.0,25.0,0.0,1.0,0.0,Match Report,0.0,84.58333333333333,0.0,0.0,2.1944444444444446,0.0,0.0,1.5,0.0,0.5,61.33333333333336,1.1944444444444444,0.0,0.19444444444444445,0.2222222222222222,0.1111111111111111,18.5,0.0,90.0,0.0,0.0,3.6,0.0,0.0,2.6,0.0,0.8,50.8,1.2,0.0,0.2,0.6,0.2,34.0,-10.53333333333336,0.9849431190208143
Y,38,0,90,0,0,2,0,0,2,0,1,55,1,0,0,0,1,Sun,Premier League,Matchweek 38,Home,W 2-1,Arsenal,Everton,"LM,CM",0.0,0.0,0.0,65.0,0.0,0.2,0.2,0.3,3.0,0.0,46.0,83.6,8.0,38.0,4.0,1.0,0.0,Match Report,0.0,84.72972972972973,0.0,0.0,2.189189189189189,0.0,0.0,1.5135135135135136,0.0,0.5135135135135135,60.54054054054056,1.162162162162162,0.0,0.1891891891891892,0.21621621621621623,0.10810810810810811,19.0,0.0,90.0,0.0,0.0,3.4,0.0,0.0,2.6,0.0,1.0,45.0,1.2,0.0,0.2,0.6,0.2,35.0,-15.540540540540562,1.172421592667417
N,1,0,27,0,0,2,0,0,2,0,1,15,0,0,0,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,CB,0.0,0.0,0.0,21.0,0.0,0.3,0.3,0.0,0.0,0.0,15.0,100.0,0.0,10.0,0.0,0.0,0.0,Match Report,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370839309306067
N,2,0,27,0,0,2,0,0,0,0,0,26,0,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,CB,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,88.5,0.0,24.0,0.0,1.0,0.0,Match Report,0.0,27.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.172421592667417
