name,opponent,Points,Fantasy Score,Pts+Rebs+Asts,Pts+Rebs,Pts+Asts,Rebs+Asts,Turnovers,Steals,Assists,Rebounds,3-PT Made,Blocked Shots
Graham Ike,UGA,16.5,30.5,25.5,24.5,18.5,8.5,1.5,0.5,,7.5,,
Ryan Nembhard,UGA,,31.5,22.5,13.5,18.5,11.5,,,8.5,,,
Khalif Battle,UGA,13.5,,18.5,17.5,15.5,,1.5,,,3.5,,
Nolan Hickman,UGA,10.5,,14.5,12.5,12.5,,,,,,,
Asa Newell,GONZ,15,27.5,22.5,21.5,15.5,,,0.5,,6.5,,
Blue Cain,GONZ,11,,17.5,16.5,12.5,,,,,,,
Silas Demary Jr.,GONZ,15.5,27.5,22.5,19.5,19.5,,,,,3.5,,
Tyrin Lawrence,GONZ,,,,,,,,0.5,,,,
Chaz Lanier,WOF,17.5,25.5,22.5,21,18,,,,,,,
Felix Okpara,WOF,6.5,,,,,,,,,,,1.5
Igor Milicic,WOF,,,16.5,14.5,11,6.5,,,,,,
Jahmai Mashack,WOF,6.5,,,,,,,,,,,
Jordan Gainey,WOF,11.5,,17.5,15.5,13.5,5.5,,,,,1.5,
Zakai Zeigler,WOF,15.5,33.5,25.5,18.5,23,10.5,,,7,,,
Corey Tripp,TENN,11.5,,18.5,15.5,14.5,6.5,2.5,0.5,,,,
Dillon Bailey,TENN,7.5,,11.5,10.5,8.5,3.5,,0.5,,2.5,,
Jackson Sivills,TENN,7.5,,12.5,11.5,8.5,,,,,,,
Kyler Filewich,TENN,10.5,22.5,19.5,16.5,,,,,,6.5,,
D.J. Wagner,KU,11.5,20.5,17.5,14.5,15.5,6,,,3.5,,,
Johnell Davis,KU,13.5,,18.5,17.5,15.5,,,1.5,1.5,,1.5,
Trevon Brazile,KU,10,24.5,19.5,18.5,,9.5,,,,8.5,,
Dajuan Harris Jr.,ARK,8.5,22.5,17.5,12.5,13.5,9,,,5.5,3.5,,
Hunter Dickinson,ARK,19.5,36.5,31.5,30,21.5,11.5,,,1.5,,0.5,
KJ Adams Jr.,ARK,9.5,,18.5,16.5,,8.5,,,,,,0.5
Zeke Mayo,ARK,14.5,25.5,22.5,19.5,16.5,8,,,2.5,5.5,,
Pharrel Payne,YALE,8.5,,13.5,13,,,,,,,,
Andersson Garcia,YALE,7.5,,16.5,15,,9,,,,7,,
Wade Taylor IV,YALE,16.5,27.5,25,20.5,21,8,,,,3.5,,
Henry Coleman III,YALE,7.5,,14.5,,7.5,6.5,,,,6.5,,
Zhuric Phelps,YALE,13,22.5,19,17,15,,,,,,,
Bez Mbeng,TXAM,13,30.5,24.5,19,18.5,11.5,,,5,6,,
Nick Townsend,TXAM,13,29.5,23,19.5,17,10,,,3.5,6,,
Casey Simmons,TXAM,8,,13,,,,,,,,,0.5
John Poulakidas,TXAM,17,,22,20,18.5,,,,,,,
Bennett Stirtz,MIZZ,17.5,33.5,27,22,22.5,9.5,2.5,,,4.5,,
Daniel Abreu,MIZZ,7.5,,11.5,,8.5,,1.5,,,3.5,,
Mitch Mascari,MIZZ,7.5,,11,10,8.5,,,,,,1.5,
Tavion Banks,MIZZ,11.5,24.5,18.5,17.5,12.5,7,,,,6,,
Caleb Grill,DRKE,12.5,21.5,17,16,13.5,4.5,,,,,,
Mark Mitchell,DRKE,13.5,22.5,19.5,17.5,15.5,6,,0.5,,,,
Tamar Bates,DRKE,12,,15,14.5,,,1.5,0.5,,,,
Tony Perkins,DRKE,8,,13.5,11,10.5,5.5,1.5,,2.5,,,
Anthony Robinson,DRKE,,,11.5,8.5,,,1.5,,2.5,,,
Dylan Andrews,USU,7.5,,12.5,9.5,10.5,,,,3.5,,,
Kobe Johnson,USU,8,21.5,17,14.5,10.5,9,,,2.5,6,,
Tyler Bilodeau,USU,13.5,22.5,19.5,18.5,14.5,6,,,,4.5,,
Eric Dailey,USU,11.5,,16.5,15.5,13,5,,,,4,,
Ian Martinez,UCLA,15.5,24.5,21.5,19.5,17.5,6,,,,,,
Sebastian Mack,USU,10,,14,12.5,11.5,,,0.5,1.5,,,
Mason Falslev,UCLA,13.5,29.5,23.5,20.5,17.5,9.5,,,3.5,6,1.5,
Skyy Clark,USU,9.5,,15.5,13,12.5,,,,2.5,,,
Deyton Albury,UCLA,8.5,,13.5,11.5,10.5,,,,,2.5,,
Kadary Richmond,NEOM,16,41,31.5,24.5,22.5,15.5,1.5,,,8.5,,
RJ Luis Jr.,NEOM,20.5,36.5,31.5,29.5,23.5,,,,,,,0.5
Zuby Ejiofor,NEOM,15.5,30.5,25.5,23.5,17.5,9.5,,,,7.5,,
JJ White,SJU,13.5,,20.5,16.5,17.5,,,,,,,
Marquel Sutton,SJU,17.5,28.5,26.5,25.5,18.5,8.5,,,,,,
Tony Osburn,SJU,10,,,,,,,,,3.5,,
Danny Wolf,UCSD,13,32,27,23,17,13.5,,,3.5,,,
Vladislav Goldin,UCSD,19,31.5,27,26,19,9,,0.5,,8,,
Nimari Burnett,UCSD,8.5,,,,,,,,,,1.5,
Tre Donaldson,UCSD,11,,18.5,14.5,15,7.5,,,,,,
Aniwaniwa Tait-Jones,MICH,20,33.5,30,26,23,,,,3.5,6,,
Tyler McGhie,MICH,15,23.5,20,18.5,16,,,,,,,
Hayden Gray,MICH,11,,17,14.5,14,6,,,,,,
Nordin Kapic,MICH,9.5,,15.5,14,10.5,5.5,,0.5,,,,
Elijah Hawkins,UNCW,9.5,25.5,19.5,13.5,15.5,9.5,,,5.5,,,
JT Toppin,UNCW,20.5,40,30.5,29.5,21.5,10.5,,,,,,
Bo Montgomery,TTU,8.5,17.5,14.5,12.5,10.5,5.5,,0.5,1.5,3.5,,
Donovan Newby,TTU,11.5,21.5,17.5,14.5,14.5,5.5,1.5,,2.5,,,
Kerwin Walton,UNCW,7.5,,,9.5,,,,,,,,
Harlan Obioha,TTU,7.5,,,13.5,,,,,,5.5,,
Khamari McGriff,TTU,10,,,,,,,,,,,
Norchad Omier,MSST,15,35,28.5,26.5,16.5,13,,,,11.5,0.5,
Robert O. Wright,MSST,10,,15.5,12,13.5,,,0.5,3.5,,,
VJ Edgecombe,MSST,16,34,25.5,22.5,19,9,,,,,1.5,
Josh Hubbard,BAY,20,29.5,25.5,22.5,23.5,5.5,1.5,,,,,
KeShawn Murphy,BAY,13,26.5,21,19.5,14.5,8,1.5,,,6.5,,
Cameron Matthews,BAY,,,15.5,12.5,9.5,9.5,,1.5,,6,,
Riley Kugel,BAY,8.5,,14,12.5,10.5,,,,,,,
RJ Melendez,BAY,8.5,,14,,9.5,5.5,,0.5,,4.5,,
Clifford Omoruyi,RMU,,,18.5,17,10.5,8.5,,,,7.5,,
Labaron Philon,RMU,13,25.5,20,16,16.5,7.5,,,,,,
Aden Holloway,RMU,12.5,,17.5,15.5,15,,,,,,,
